"site_name","site_code","asset_number","asset_id","easting","northing","ev_charger","lamp_type","next_electrical_test_date","structural_test_classification","next_structural_test_year"
"Bankside",22500141,88899.84,"1519L94",531825.24,180544.09,"Not Applicable","SON","2024/2025","Limitation","2024/2025"
"Banstead Street",22500144,762.02,"2527L08",534996.33,175781.96,"Not Applicable","Cosmo","2026/2027","Green","2026/2027"
"Bargehouse Street",22500148,775.30,"1258L05",531351.51,180484.21,"Not Applicable","SON","2024/2025","Limitation","2024/2025"
"Barnham Street",22500154,804.00,"62L06",533312.3,179914.45,"Not Applicable","LED","2029/2030",4,"2029/2030"
"Barnham Street",22500154,808.00,"62L10",533303.79,179877.59,"Not Applicable","LED","2029/2030",4,"2029/2030"
"Barry Road",22500157,852.00,"2596L18",534233.63,174603.47,"Not Applicable","LED","2028/2029","Green","2025/2026"
"Barry Road",22500157,853.00,"2596L28",534112,174316.67,"Not Applicable","LED","2028/2029","Green","2025/2026"
"Barset Road",22500164,858.11,"2518L12",535151.27,175803.64,"Not Applicable","LED","2029/2030","Low Amber","2026/2027"
"Barset Road",22500164,858.23,"2518X24",535110.65,175866.51,"Not Applicable","LED","2029/2030","Green","2026/2027"
"Bartholomew Street",22500167,859.00,"1238L01",532727.95,179002.44,"Not Applicable","LED","2022/2023","Green","2024/2025"
"Bartholomew Street",22500167,863.00,"1238L05",532832.35,179071.59,"Not Applicable","LED","2022/2023","Green","2024/2025"
"Bartholomew Street",22500167,865.00,"1238L07",532883.8,179107.85,"Not Applicable","LED","2022/2023","Green","2024/2025"
"Bassano Street",22500172,887.00,"2311L05",533695.45,174843.24,"Not Applicable","LED","2023/2024","Green","2025/2026"
"Bear Gardens",22500181,909.00,"1525L04",532258.5,180512.9,"Not Applicable","LED","2026/2027","New Item (Test After 15yrs)","2036/2037"
"Bear Lane",22500182,910.00,"1516L01",531795.13,180293.26,"Not Applicable","LED","2028/2029","Green","2024/2025"
"Bear Lane",22500182,912.00,"1516L03",531794.16,180253.34,"Not Applicable","LED","2028/2029","Green","2024/2025"
"Bear Lane",22500182,914.02,"1516L07",531814.85,180178.13,"Not Applicable","LED","2028/2029","Low Amber","2024/2025"
"Bear Lane",22500182,914.03,"1516L08",531834,180161,"Not Applicable","LED","2028/2029","Green","2024/2025"
"Beatrice Road",22500183,923.00,"119L09",534473.22,178659.62,"Not Applicable","LED","2029/2030",3,"2026/2027"
"Beaulieu Close",22500188,965.00,"2924L05",532957.51,175785.53,"Not Applicable","LED","2030/2031","Green","2024/2025"
"Beauval Road",22500189,966.00,"2313L01",533674.69,174144.76,"Not Applicable","LED","2028/2029","Green","2025/2026"
"Beauval Road",22500189,977.00,"2313L12",533591.9,174415.04,"Not Applicable","LED","2028/2029","Green","2025/2026"
"Beckway Street",22500193,983.00,"1269L02",533124.1,178557.02,"Not Applicable","LED","2027/2028","Green","2026/2027"
"Beckway Street",22500193,100000.00,"1269L05",532999.2,178693.2,"Not Applicable","LED","2027/2028","New Item (Test After 15yrs)","2025/2026"
"Beckwith Road",22500194,992.00,"2106L08",532683.6,174586.7,"Not Applicable","LED","2028/2029","Green","2025/2026"
"Belfort Road",22500200,1010.00," 2474L09",535284.66,176446.61,"Not Applicable","LED","2028/2029","Green","2026/2027"
"Bellenden Road",22500202,1025.00,"2655L41",533974.16,176000.09,"Not Applicable","LED","2025/2026","Green","2026/2027"
"Bellenden Road",22500202,1027.00,"2655L43",533966.51,175984,"Not Applicable","LED","2025/2026","Green","2026/2027"
"Bellenden Road",22500202,1051.00,"2655L03",534033.43,176643.56,"Not Applicable","LED","2028/2029","High Amber","2026/2027"
"Bellenden Road",22500202,1061.00,"2655L13",533938.79,176513.86,"Not Applicable","LED","2028/2029","Green","2026/2027"
